OrderID,CustomerID,ProductID,OrderDate,Quantity,TotalAmount,OrderStatus,Company
O000,C047,P038,2025-01-10 06:32:44,6,2669.3999999999996,Completed,Bright Ltd
O001,C113,P079,2025-01-01 02:58:50,3,1366.47,Completed,Jordan-Little
O002,C106,P018,2025-01-13 06:09:18,8,2509.52,Completed,"Kaiser, Vargas and Smith"
O002,C187,P083,2025-01-13 06:09:18,10,2934.7000000000003,Completed,"Kaiser, Vargas and Smith"
O002,C144,P074,2025-01-13 06:09:18,2,443.58,Completed,"Kaiser, Vargas and Smith"
O002,C196,P042,2025-01-13 06:09:18,7,3336.6200000000003,Completed,"Kaiser, Vargas and Smith"
O003,C173,P003,2025-01-13 07:16:01,9,1974.42,Canceled,Singleton-Zimmerman
O003,C004,P090,2025-01-13 07:16:01,6,2550.42,Canceled,Singleton-Zimmerman
O004,C079,P060,2025-01-10 20:30:29,7,851.34,Completed,
O005,C023,P011,2025-01-07 22:43:10,9,458.09999999999997,Completed,Brown-Crawford
O005,C121,P061,2025-01-07 22:43:10,7,2520.77,Completed,Brown-Crawford
O005,C097,P018,2025-01-07 22:43:10,3,941.0699999999999,Completed,Brown-Crawford
O005,C013,P053,2025-01-07 22:43:10,2,609.9,Completed,Brown-Crawford
O006,C025,P099,2025-01-10 01:34:37,10,1094.7,Pending,Villarreal Inc
O006,C003,P022,2025-01-10 01:34:37,2,929.16,Pending,Villarreal Inc
O006,C060,P094,2025-01-10 01:34:37,6,2375.88,Pending,Villarreal Inc
O006,C045,P010,2025-01-10 01:34:37,7,193.76,Pending,Villarreal Inc
O007,C055,P003,2025-01-11 01:08:01,4,877.52,Completed,Smith Group
O007,C049,P099,2025-01-11 01:08:01,9,985.23,Completed,Smith Group
O008,C180,P062,2025-01-02 02:46:31,1,66.59,Completed,"Smith, Ortiz and Brady"
O008,C029,P032,2025-01-02 02:46:31,1,228.88,Completed,"Smith, Ortiz and Brady"
O009,C057,P027,2025-01-13 22:46:16,8,1837.68,Canceled,Alvarado-Williams
O009,C108,P031,2025-01-13 22:46:16,10,3190.4,Canceled,Alvarado-Williams
O009,C092,P016,2025-01-13 22:46:16,5,2153.15,Canceled,Alvarado-Williams
O010,C032,P069,2025-01-09 05:04:43,1,138.8,Pending,
O010,C195,P074,2025-01-09 05:04:43,2,443.58,Pending,
O010,C136,P021,2025-01-09 05:04:43,6,2124.8999999999996,Pending,
O010,C159,P062,2025-01-09 05:04:43,4,266.36,Pending,
O011,C028,P086,2025-01-11 17:18:36,3,460.32,Completed,"Rhodes, Mata and Franklin"
O011,C157,P019,2025-01-11 17:18:36,4,567.4,Completed,"Rhodes, Mata and Franklin"
O011,C153,P022,2025-01-11 17:18:36,9,4181.22,Completed,"Rhodes, Mata and Franklin"
O011,C052,P094,2025-01-11 17:18:36,8,3167.84,Completed,"Rhodes, Mata and Franklin"
O012,C178,P039,2025-01-11 18:40:53,8,3077.04,Canceled,"Elliott, Stevens and Gonzalez"
O012,C191,P087,2025-01-11 18:40:53,6,1031.46,Canceled,"Elliott, Stevens and Gonzalez"
O012,C110,P015,2025-01-11 18:40:53,10,3814.7000000000003,Canceled,"Elliott, Stevens and Gonzalez"
O013,C016,P006,2025-01-09 11:37:56,2,713.58,Canceled,Valencia-Murphy
O013,C100,P067,2025-01-09 11:37:56,2,882.3,Canceled,Valencia-Murphy
O013,C034,P020,2025-01-09 11:37:56,2,366.96,Canceled,Valencia-Murphy
O014,C131,P001,2025-01-09 08:06:05,3,824.64,Canceled,Sawyer Group
O014,C103,P097,2025-01-09 08:06:05,1,187.12,Canceled,Sawyer Group
O014,C145,P053,2025-01-09 08:06:05,10,3049.5,Canceled,Sawyer Group
O015,C124,P001,2025-01-07 18:58:54,3,824.64,Completed,Hart PLC
O015,C057,P045,2025-01-07 18:58:54,6,192.78000000000003,Completed,Hart PLC
O016,C008,P011,2025-01-09 06:53:38,5,254.5,Pending,"Hanson, Carpenter and Maddox"
O016,C153,P085,2025-01-09 06:53:38,7,213.99,Pending,"Hanson, Carpenter and Maddox"
O017,C197,P044,2025-01-08 00:05:03,1,99.27,Canceled,Roy-Davila
O017,C125,P079,2025-01-08 00:05:03,1,455.49,Canceled,Roy-Davila
O017,C169,P015,2025-01-08 00:05:03,4,1525.88,Canceled,Roy-Davila
O017,C053,P055,2025-01-08 00:05:03,2,460.8,Canceled,Roy-Davila
O018,C136,P074,2025-01-07 07:24:26,8,1774.32,Canceled,Garza LLC
O018,C096,P024,2025-01-07 07:24:26,1,469.89,Canceled,Garza LLC
O019,C076,P029,2025-01-13 02:14:36,3,1323.24,Pending,
